Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification, Estimated Income , Superannuation Savings ,Amount of Credit Cards, Credit Card Balance , Bank Loans , Bank Deposits , Checking Accounts , Saving Accounts , Foreign Currency Account , Business Lending ,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND81288,Raymond Mills,24,34324,6/5/2019,Anthony Torres,American,Safety Technician IV,High,Jade," $75,384.77 "," $17,677.95 ",1, $484.54 ," $776,242.92 "," $1,485,828.64 "," $603,617.88 "," $607,332.46 "," $12,249.96 "," $1,134,475.30 ",1,2,1,1,1
IND65833,Julia Spencer,23,42205,10/12/2001,Jonathan Hawkins,African,Software Consultant,High,Jade," $289,834.31 "," $17,398.92 ",1," $2,256.88 "," $1,270,615.43 "," $641,482.79 "," $229,521.37 "," $344,635.16 "," $61,162.31 "," $2,000,526.10 ",1,3,2,1,2
IND47499,Stephen Murray,27,7314,25-01-2010,Anthony Berry,European,Help Desk Operator,High,Gold," $169,935.23 "," $42,825.90 ",2," $4,568.74 "," $1,052,715.84 "," $1,033,401.59 "," $652,674.69 "," $203,054.35 "," $79,071.78 "," $548,137.58 ",1,3,3,2,3
IND72498,Virginia Garza,40,34594,28-03-2019,Steve Diaz,American,Geologist II,Mid,Silver," $356,808.11 "," $5,473.15 ",2," $4,205.00 "," $121,195.06 "," $1,048,157.49 "," $1,048,157.49 "," $234,685.02 "," $57,513.65 "," $1,148,402.29 ",0,4,4,1,4
IND60181,Melissa Sanders,46,41269,20-07-2012,Shawn Long,American,Assistant Professor,Mid,Platinum," $130,711.68 "," $48,077.60 ",1," $3,779.49 "," $1,048,301.95 "," $487,782.53 "," $446,644.25 "," $128,351.45 "," $30,012.14 "," $1,674,412.12 ",0,3,1,2,5
IND78532,Samuel Hudson,23,13204,7/2/2019,Douglas Tucker,American,Help Desk Technician,High,Silver," $118,326.96 "," $6,028.20 ",2," $5,148.56 "," $601,902.50 "," $1,307,269.41 "," $745,627.74 "," $238,310.37 "," $15,615.18 "," $1,556,031.06 ",1,2,1,1,6
IND95683,Timothy Alexander,46,42910,2/6/2002,Douglas Tucker,Asian,Account Coordinator,High,Gold," $57,336.47 "," $13,929.16 ",1, $959.90 ," $208,909.69 "," $41,200.18 "," $60,588.50 "," $24,639.33 "," $3,045.78 "," $154,111.62 ",1,1,1,2,7
IND40785,Carl Martin,78,6127,3/11/2000,Steve Diaz,European,Automation Specialist II,Mid,Gold," $65,125.80 "," $31,077.80 ",1," $4,576.58 "," $1,140,704.80 "," $156,983.13 "," $53,889.73 "," $46,813.78 "," $51,979.19 "," $1,171,456.68 ",0,2,2,2,8
IND13570,Philip Day,67,32656,7/4/2015,Bruce Butler,Asian,Software Test Engineer II,High,Silver," $87,849.47 "," $9,385.35 ",1, $78.62 ," $803,444.46 "," $1,242,347.22 "," $328,334.62 "," $279,528.12 "," $27,125.28 "," $464,560.28 ",0,1,2,2,9
IND53299,Jason Sims,51,28340,20-11-1995,Joe Price,European,Geologist III,Mid,Silver," $65,369.36 "," $27,364.80 ",3," $4,836.86 "," $60,027.90 "," $317,246.67 "," $111,532.03 "," $115,869.39 "," $48,043.52 "," $908,583.94 ",2,1,3,1,10
IND76263,Amy Martinez,55,40459,18-10-2014,Adam Hernandez,European,Administrative Officer,High,Jade," $74,966.51 "," $16,928.73 ",1, $493.32 ," $214,327.82 "," $37,979.77 "," $19,335.16 "," $52,204.92 "," $10,539.79 "," $353,119.93 ",3,1,3,1,11
IND56452,David Johnston,73,25563,12/9/2005,Chris Armstrong,American,Database Administrator II,Mid,Jade," $111,449.06 "," $17,480.19 ",2, $392.59 ," $580,468.51 "," $749,007.94 "," $204,991.65 "," $513,425.24 "," $22,904.91 "," $294,397.85 ",0,2,3,2,12
IND28766,Wayne Foster,45,35687,17-03-2018,Joshua Ryan,African,Staff Scientist,Low,Silver," $115,637.19 "," $10,848.60 ",1," $5,055.31 "," $815,250.64 "," $616,330.93 "," $208,277.35 "," $138,738.22 "," $6,336.65 "," $972,455.46 ",3,1,3,2,13
IND17897,Carlos Moore,44,19554,2/1/1996,Paul Larson,American,Programmer I,High,Jade," $124,434.78 "," $26,146.00 ",2," $5,211.37 "," $984,792.50 "," $802,862.97 "," $263,714.11 "," $174,051.32 "," $68,855.49 "," $835,554.83 ",0,2,3,2,14
IND86325,Lisa Johnston,36,33368,5/6/2020,Mark Montgomery,Asian,Software Test Engineer I,High,Platinum," $260,795.34 "," $11,584.68 ",1," $2,866.34 "," $310,876.62 "," $116,399.86 "," $69,072.45 "," $67,077.02 "," $48,101.13 "," $1,136,169.30 ",1,2,3,1,15
IND74197,Andrew Mills,55,27913,6/1/2021,Shawn Wallace,European,Actuary,Mid,Silver," $78,892.52 "," $32,369.71 ",1," $4,882.13 "," $1,510,860.64 "," $317,542.21 "," $134,344.78 "," $71,284.16 "," $20,708.55 "," $2,283,081.57 ",3,2,3,1,16
IND28503,Jack Coleman,61,9505,22-06-2014,Ernest Rivera,Asian,Staff Accountant II,High,Silver," $257,120.22 "," $16,263.99 ",1," $8,614.06 "," $436,988.44 "," $2,446,251.57 "," $1,273,391.23 "," $253,337.83 "," $80,698.26 "," $1,128,082.14 ",1,3,4,2,17
IND56539,Aaron Day,56,36232,19-01-2020,Gregory Simmons,Asian,Assistant Media Planner,Low,Jade," $145,704.55 "," $3,078.27 ",1," $1,895.06 "," $384,153.37 "," $55,118.87 "," $25,590.90 "," $64,095.37 "," $10,492.37 "," $199,617.82 ",3,1,4,2,18
IND53604,Kevin Weaver,43,6299,31-03-2019,Frank Brown,American,Staff Accountant I,Low,Jade," $34,404.16 "," $19,668.40 ",2," $5,384.70 "," $1,102,836.16 "," $204,450.83 "," $89,694.56 "," $35,877.82 "," $22,452.06 "," $1,115,542.44 ",3,1,3,2,19
IND32064,Mary Fox,63,7694,9/3/2009,Adam Hernandez,Australian,Compensation Analyst,Mid,Jade," $129,060.88 "," $17,283.63 ",1, $395.58 ," $1,000,409.32 "," $966,281.34 "," $472,404.21 "," $396,819.54 "," $37,271.05 "," $1,631,986.90 ",2,4,1,2,20
IND72934,Carlos Little,41,38321,3/4/2020,Jonathan Hawkins,American,Geologist I,Low,Jade," $129,981.31 "," $10,242.84 ",2," $2,383.86 "," $373,846.69 "," $38,406.80 "," $11,024.17 "," $25,028.43 "," $24,422.10 "," $441,603.53 ",2,1,2,1,21
IND16101,Roger Boyd,58,12772,31-12-2015,Adam Hernandez,European,Web Designer II,High,Jade," $123,545.42 "," $2,984.52 ",1," $2,789.44 "," $1,400,623.12 "," $547,459.74 "," $324,420.58 "," $42,985.73 "," $31,481.78 "," $1,255,331.52 ",3,2,3,2,22
IND93121,Aaron Marshall,26,28661,14-01-2013,Ernest Rivera,American,Media Manager IV,Mid,Jade," $308,182.93 "," $64,332.66 ",1," $4,458.61 "," $649,331.84 "," $103,871.63 "," $77,431.58 "," $133,711.12 "," $12,045.07 "," $176,113.98 ",0,5,4,2,1
IND93310,Cheryl Stewart,21,8767,23-05-2021,Victor Martinez,European,Accounting Assistant II,High,Gold," $122,579.41 "," $10,312.54 ",1," $4,959.36 "," $963,017.56 "," $1,115,098.09 "," $368,467.20 "," $721,419.98 "," $11,782.22 "," $861,771.26 ",1,2,1,1,2
IND71301,Anne Nguyen,41,14954,19-09-2021,Joshua Ryan,American,Programmer II,High,Jade," $30,942.07 "," $4,469.98 ",1," $3,338.64 "," $276,532.77 "," $132,960.52 "," $108,193.36 "," $22,381.69 "," $23,955.90 "," $622,223.70 ",0,1,1,2,3
IND21279,Christopher Evans,36,24058,20-03-2013,Adam Hernandez,European,Administrative Assistant IV,High,Jade," $50,651.56 "," $8,097.25 ",3, $509.21 ," $278,071.37 "," $302,540.60 "," $94,771.75 "," $153,748.94 "," $16,732.39 "," $430,027.77 ",3,1,1,2,4
IND98618,Maria Clark,34,8623,29-01-2014,Joe Hanson,Asian,Help Desk Operator,High,Silver," $502,309.08 "," $69,381.00 ",2," $10,639.31 "," $1,469,913.23 "," $1,724,818.30 "," $507,299.50 "," $1,168,238.27 "," $75,592.25 "," $2,143,826.06 ",0,4,2,1,8
IND35589,Jimmy Simpson,52,38270,8/1/2018,George Lewis,European,Geological Engineer,High,Jade," $87,019.73 "," $11,316.50 ",2," $1,253.68 "," $273,944.56 "," $192,711.78 "," $54,150.42 "," $73,580.86 "," $21,530.91 "," $772,573.60 ",1,1,2,2,9
IND40198,Louise Sanders,78,29119,24-05-2005,Shawn Cook,European,Junior Executive,Low,Jade," $246,615.84 "," $35,332.00 ",3," $5,835.26 "," $622,181.88 "," $765,153.59 "," $552,072.84 "," $308,192.24 "," $29,778.58 "," $1,078,308.29 ",0,3,3,2,10
IND49616,Angela Alvarez,34,31338,22-08-2016,Patrick Graham,Australian,Biostatistician IV,Low,Jade," $130,023.36 "," $15,464.38 ",1, $219.19 ," $366,887.14 "," $447,804.62 "," $221,138.08 "," $271,999.84 "," $31,010.83 "," $787,555.56 ",0,1,3,1,11
IND55475,Henry Grant,75,21778,6/4/2013,Anthony Simpson,European,Software Test Engineer I,Low,Jade," $82,703.81 "," $8,635.67 ",2," $8,521.80 "," $842,201.38 "," $2,098,819.50 "," $990,288.08 "," $424,345.83 "," $32,253.44 "," $272,858.21 ",3,4,3,1,12
IND61272,Larry Foster,47,34773,10/12/2020,Raymond Alexander,European,Internal Auditor,High,Gold," $137,256.09 "," $18,322.92 ",2," $1,050.56 "," $1,035,297.66 "," $976,553.21 "," $180,073.64 "," $471,515.90 "," $34,284.83 "," $469,532.28 ",0,1,3,2,13
IND33884,Carol GoPKRalez,34,29287,29-05-2021,Carl Nguyen,European,Chemical Engineer,High,Platinum," $224,640.75 "," $57,090.72 ",3," $3,550.74 "," $1,091,959.45 "," $828,226.52 "," $532,945.76 "," $127,330.83 "," $61,733.24 "," $454,281.87 ",1,3,3,1,14
IND53121,Timothy Stanley,79,29278,15-02-2021,Joshua Little,American,Accountant III,High,Jade," $147,292.91 "," $24,297.42 ",1," $4,097.62 "," $105,266.65 "," $187,826.40 "," $35,438.94 "," $70,287.24 "," $7,805.91 "," $1,112,746.46 ",3,1,3,2,15
IND25680,Billy Wilson,73,99,25-09-2017,Dennis Morris,European,Registered Nurse,High,Platinum," $263,248.97 "," $47,651.76 ",2," $7,069.16 "," $693,956.23 "," $1,420,246.29 "," $554,930.67 "," $235,234.17 "," $1,624.19 "," $2,518,271.85 ",3,3,3,2,1
IND55454,Kathleen Riley,80,20746,28-11-2017,Benjamin Kim,European,Cost Accountant,Low,Jade," $193,690.93 "," $11,655.54 ",2," $3,610.42 "," $50,809.39 "," $342,138.31 "," $255,463.27 "," $174,627.40 "," $4,469.13 "," $626,121.90 ",2,2,4,1,2
IND96454,Bobby Jenkins,73,15809,5/3/2014,Nicholas Cunningham,European,Developer IV,Low,Gold," $91,243.05 "," $37,750.72 ",3," $6,660.85 "," $122,158.61 "," $2,137,439.34 "," $639,548.78 "," $1,273,038.67 "," $12,504.17 "," $411,062.27 ",2,3,4,2,3
IND14292,Arthur Burns,51,30376,13-12-2005,Shawn Long,Asian,Accounting Assistant II,Low,Platinum," $162,807.39 "," $70,394.40 ",1, $811.96 ," $709,300.71 "," $1,667,444.17 "," $517,118.76 "," $274,495.08 "," $2,337.77 "," $270,162.94 ",2,4,3,1,4
IND67206,Lawrence Richardson,49,38915,13-01-2012,Anthony Simpson,European,Junior Executive,Mid,Gold," $193,729.94 "," $44,815.46 ",2," $2,062.15 "," $66,053.91 "," $684,295.05 "," $337,704.05 "," $534,461.09 "," $47,911.89 "," $992,911.86 ",2,3,1,2,5
